,Nt,(mm),time
291,232.22650,7.28750,29.21100
292,230.86840,7.31250,29.31200
293,228.49180,7.33750,29.41200
294,226.79430,7.36250,29.51300
295,224.07820,7.38750,29.61300
296,221.70160,7.41250,29.71300
297,219.32500,7.43750,29.81400
298,217.28790,7.46250,29.91400
299,214.57180,7.48750,30.01400
300,210.83720,7.51250,30.11500
301,208.12110,7.53750,30.21500
302,205.06550,7.56250,30.31600
303,200.99130,7.58750,30.41600
304,198.27520,7.61250,30.51600
305,193.52200,7.63750,30.61700
306,189.78740,7.66250,30.71700
307,184.69470,7.68750,30.81800
308,179.26250,7.71250,30.91800
309,174.50930,7.73750,31.01800
310,171.45370,7.76250,31.11800
311,168.39810,7.78750,31.21900
312,165.34250,7.81250,31.32000
313,161.94740,7.83750,31.42000
314,157.87320,7.86250,31.52000
315,154.13860,7.88750,31.62000
316,150.06450,7.91250,31.72100
317,146.66930,7.93750,31.82200
318,143.95320,7.96250,31.92200
319,140.21860,7.98750,32.02200
320,137.50250,8.01250,32.12200
321,135.46540,8.03750,32.22300
322,131.73080,8.06250,32.32400
323,127.65660,8.08750,32.42300
324,124.26150,8.11250,32.52400
325,120.52690,8.13750,32.62400
326,115.77370,8.16250,32.72500
327,111.36000,8.18750,32.82500
328,106.60690,8.21250,32.92500
329,103.21170,8.23750,33.02600
330,100.15610,8.26250,33.12600
331,97.10056,8.28750,33.22700
332,93.70543,8.31250,33.32700
333,90.31031,8.33750,33.42700
334,86.91518,8.36250,33.52800
335,83.85957,8.38750,33.62800
336,79.78542,8.41250,33.72900
